GDP,Unemployment,Inflation,Recession
2.7483570765056164,5.857787360348283,0.8839006388439432,0
2.430867849414408,6.060784526368234,1.580437483932359,0
2.8238442690503462,6.583051243175277,2.003670589802728,0
3.261514928204013,6.553802052034903,2.0328864156353195,0
2.382923312638332,4.1223306320429085,1.6849541699645294,0
2.3829315215254097,4.562174960084877,2.435994952643249,0
3.2896064077536957,6.01503526720866,1.252665699432184,0
2.8837173645764542,6.013785950912209,1.9003343604850946,0
2.265262807032524,6.015047686306048,2.084206942198329,0
2.7712800217929825,9.35273149065472,2.3601071838411243,1
2.268291153593769,6.070890510693167,2.498130414662223,0
2.2671351232148718,6.635565640180599,1.2127505357134916,0
2.6209811357830173,6.454001763493203,0.9261200804850644,0
1.543359877671101,6.151391251305798,2.8943737753289565,1
1.6375410837434836,5.184730755359654,2.232619808385714,0
2.218856235379514,6.258969220493268,1.4760594244104124,0
1.9935844398327882,4.727174785462428,3.085806382865766,0
2.657123666297637,5.263181393259991,2.080972244005001,0
2.0459879622393946,5.014636452170897,2.8255080288446783,0
1.7938481493323541,5.581874139386323,2.0472629369870763,1
3.232824384460777,7.814658566673509,3.442523547417391,1
2.387111849756732,3.632734807408252,3.228738589710243,0
2.533764102343962,6.186260190374513,1.8257250960646485,0
1.7876259068932716,3.8872841288103483,2.680099665668049,1
2.2278086377374087,5.028068134210566,2.4517631647096034,0
2.555461294854933,6.588950596967366,2.958042090272644,0
1.9245032112888487,5.564280019095463,1.3245535775939268,0
2.6878490091728358,4.422255222070694,2.4802360219989072,0
2.1996806550405976,4.784696290740031,2.7408971407947114,0
2.3541531251033616,6.179597748934675,0.7688823595038201,0
2.1991466938853015,4.7696333682828636,1.1717190411339575,1
3.426139092254469,5.716458589581975,0.5725374755679298,1
2.493251387631033,5.545571839903814,1.8114152158888095,0
1.9711445355220498,4.848399652394183,2.5022795790571735,0
2.9112724560515946,7.643944089325325,3.0516499364672196,1
1.8895781750144889,6.133919022318011,2.0518663462938425,1
2.604431797502378,3.474857413342393,3.1400308818999045,0
1.520164938060112,5.686454314769428,1.033928979249576,1
1.8359069755507846,4.838213535231612,0.8076322924513919,1
2.5984306179345618,6.352433334796224,1.9611166107723668,0
2.8692332899977053,4.7074792615673,2.268845814257515,0
2.585684140594985,5.385263558533101,1.9771136763341348,0
2.44217585880588,6.004987278980457,0.5527905299720866,0
2.3494481522053556,6.365755194170122,1.9376159723410482,0
1.7607390048162863,4.2997035929442236,1.0868713496466027,1
2.1400778958026456,5.165498764159052,2.468770784181027,0
2.269680614520106,5.0250546888390435,2.2566187722677937,0
3.0285611131094576,4.846670767426288,1.3420841495708513,0
2.6718091447842305,7.265454240281096,1.6402931578643145,0
1.618479922318633,5.904981710960955,1.258550534677734,1
2.6620419846973977,4.239116045664955,1.9561246319087797,0
2.3074588597918417,6.417861947054776,2.6685996243508665,0
2.1615389998470205,7.622156197012633,1.3099917675651196,0
2.805838144420434,6.532465260551147,2.352832560862491,0
